AT	GO	contig	O_sativa_locus_annotation	ProbeName	TargetID	Variance_population_Oil_	Variance_Residual	SumVariance	SampleVariance	PropVar_population_Oil_	PropVar_Residual	RSquare	N2RLL	AIC	AICC	BIC	F_T3_Oil	F_T3_State	NDF_T3_Oil	NDF_T3_State	DDF_T3_Oil	DDF_T3_State	PrF_T3_Oil	PrF_T3_State	NLP_T3_Oil	NLP_T3_State	Sig Index PrF_T3_Oil	Sig Index PrF_T3_State	Sum Sig Index for F-Tests	Avg Sig Index for F-Tests
AT2G40430	GO:0006406/GO:0003674/GO:0006606/GO:0005634/GO:0006606/GO:0006406/GO:0008150/GO:0005634/GO:0005634/GO:0006406	S_alt_contig03800	LOC_Os05g05220.1|13105.m00539|cDNA	CUST_10047_PI428634872	S_alt_contig03800	0.017673	0.010847	0.0285193359	0.052046596	0.619675	0.380325	0.8197121275	-40.6	-36.6	-36.2	-37.1	1.95	7.85	1	1	33	33	0.1722	0.0084	0.7640052828	2.0745028801	0	1	1	0.5
AT2G40600	GO:0005829/GO:0008150/GO:0003674	S_alt_contig03801	LOC_Os03g21830.1|13103.m02622|cDNA appr-1-p processing enzyme family protein, putative, expressed	CUST_10048_PI428634872	S_alt_contig03801	0.093929	0.029792	0.123720165	0.291094393	0.759202	0.240798	0.9118366439	-5.5	-1.5	-1.1	-1.9	10.79	1.87	1	1	33	33	0.0024	0.1808	2.6166347643	0.7428922676	1	0	1	0.5
AT2G44680	GO:0005956/GO:0004674/GO:0005737/GO:0016567/GO:0048573/GO:0005956/GO:0019887/GO:0042753/GO:0048573/GO:0007623/GO:0004674/GO:0016567/GO:0005634/GO:0005634/GO:0005956/GO:0016567/GO:0019887	S_alt_contig03802	LOC_Os07g31280.1|13107.m03159|cDNA casein kinase II subunit beta-4, putative, expressed	CUST_10049_PI428634872	S_alt_contig03802	0.000729	0.00671	0.0074388759	0.0343501357	0.097939	0.902061	0.8224173039	-62.1	-58.1	-57.7	-58.5	21.78	65.55	1	1	33	33	<.0001	<.0001	4.3087582682	8.6178578326	1	1	2	1
AT2G17710	GO:0005739/GO:0008150/GO:0003674	S_alt_contig03803	LOC_Os04g47310.1|13104.m04791|cDNA	CUST_10050_PI428634872	S_alt_contig03803	0	0.066357	0.0663567924	0.1734484836	0	1	0.6392878486	12.0	14.0	14.1	13.8	41.95	16.54	1	1	33	33	<.0001	0.0003	6.6220417356	3.5552525454	1	1	2	1
AT1G49340	GO:0005886/GO:0009506/GO:0035004/GO:0004430/GO:0035004/GO:0048015/GO:0046854/GO:0048471/GO:0005886/GO:0005737/GO:0016772/GO:0046854/GO:0004430/GO:0006468/GO:0070273/GO:0016773/GO:0070300/GO:0016772/GO:0046854/GO:0016773/GO:0006468/GO:0005546/GO:0048015/GO:0004430/GO:0051015/GO:0046854/GO:0048471/GO:0004430/GO:0006468/GO:0005737	S_alt_contig03812	LOC_Os03g50320.1|13103.m05473|cDNA phosphatidylinositol 4-kinase PI4K, putative, expressed	CUST_10056_PI428634872	S_alt_contig03812	0.012838	0.02931	0.0421488569	0.1106122799	0.304598	0.695402	0.7666112863	-11.1	-7.1	-6.7	-7.5	24.99	0.15	1	1	33	33	<.0001	0.7038	4.7327761641	0.1525736262	1	0	1	0.5
AT2G24390	GO:0003674/GO:0008150/GO:0005634/GO:0005634/GO:0005634	S_alt_contig03816	LOC_Os06g48960.1|13106.m05213|cDNA AIG2-like family domain containing protein, expressed	CUST_10059_PI428634872	S_alt_contig03816	0.012894	0.029716	0.0426098021	0.1089227341	0.302597	0.697403	0.7596653351	-10.7	-6.7	-6.3	-7.1	11.51	12.77	1	1	33	33	0.0018	0.0011	2.740846354	2.9554421369	1	1	2	1
AT2G33990	GO:0005516/GO:0005634/GO:0048573/GO:0008150/GO:0000394/GO:0048573/GO:0009086/GO:0009086/GO:0000394/GO:0005886	S_5sp_contig21263	LOC_Os06g06160.5|13106.m00630|cDNA	CUST_1005_PI428634872	S_5sp_contig21263	0.016526	0.0405	0.0570257206	0.1170950253	0.289803	0.710197	0.6825705287	-5.1	-1.1	-0.8	-1.5	0.89	18.63	1	1	51	51	0.3502	<.0001	0.4557071079	4.1366886136	0	1	1	0.5
AT1G19140	GO:0006744/GO:0006744/GO:0005739/GO:0003674/GO:0005739/GO:0006744/GO:0005739/GO:0006744	S_alt_contig03822	LOC_Os03g29180.1|13103.m03349|cDNA ubiquinone biosynthesis protein COQ9, mitochondrial precursor, putative, expressed	CUST_10063_PI428634872	S_alt_contig03822	0	0.037314	0.0373141883	0.0437094879	0	1	0.1950958322	-7.0	-5.0	-4.9	-5.2	0.00	8.00	1	1	33	33	0.9945	0.0079	0.0024019931	2.1024440413	0	1	1	0.5
AT3G05940	GO:0005576/GO:0008150	S_alt_contig03829_RC	LOC_Os03g61210.1|13103.m06737|cDNA domain of unknown function domain containing protein, expressed	CUST_10070_PI428634872	S_alt_contig03829_RC	0.035259	0.018763	0.0540224596	0.1293495432	0.652674	0.347326	0.874650329	-22.2	-18.2	-17.8	-18.6	5.54	8.67	1	1	33	33	0.0246	0.0059	1.6083569749	2.2297259918	0	1	1	0.5
AT5G61510	GO:0000166/GO:0030154/GO:0008270/GO:0016491/GO:0009507/GO:0055114/GO:0005829/GO:0009644	S_alt_contig03844	LOC_Os03g01190.1|13103.m00023|cDNA dehydrogenase, putative, expressed	CUST_10080_PI428634872	S_alt_contig03844	0.048561	0.034435	0.0829963111	0.2364235428	0.585102	0.414898	0.8738378465	-2.9	1.1	1.5	0.7	6.87	12.36	1	1	33	33	0.0131	0.0013	1.881095882	2.8859972269	0	1	1	0.5
AT3G58730	GO:0015991/GO:0015991/GO:0005774/GO:0000325/GO:0005774/GO:0042626/GO:0005774/GO:0006007/GO:0005774/GO:0007033/GO:0006816/GO:0005886/GO:0009651/GO:0006623/GO:0007030/GO:0006623/GO:0009651/GO:0046961/GO:0046961/GO:0007033/GO:0005773/GO:0007030/GO:0005774/GO:0005773/GO:0005794/GO:0005773/GO:0005774/GO:0042626/GO:0000325/GO:0005773/GO:0016020	S_alt_contig03847_RC	LOC_Os04g55040.1|13104.m05699|cDNA vacuolar ATP synthase subunit D 1, putative, expressed	CUST_10083_PI428634872	S_alt_contig03847_RC	0.018818	0.018247	0.0370654665	0.0987636243	0.507706	0.492294	0.8394350128	-24.7	-20.7	-20.3	-21.1	18.75	0.43	1	1	33	33	0.0001	0.5173	3.8843992451	0.2862685668	1	0	1	0.5
NA		S_alt_contig03850_NB		CUST_10085_PI428634872	S_alt_contig03850_NB	0.120614	0.16961	0.290224824	0.6878527924	0.41559	0.58441	0.7881111915	43.0	47.0	47.5	46.6	8.39	7.69	1	1	29	29	0.0071	0.0096	2.1489479356	2.018223939	1	0	1	0.5
AT2G04400	GO:0009507/GO:0005829/GO:0009570/GO:0000162/GO:0009570/GO:0000162/GO:0042742/GO:0006568/GO:0004425/GO:0009507/GO:0009684/GO:0009570/GO:0034976/GO:0003824/GO:0006568/GO:0005507/GO:0004425/GO:0009627/GO:0042742/GO:0006569/GO:0008152/GO:0009627/GO:0034976/GO:0009684/GO:0009570/GO:0006569	S_alt_contig03852	LOC_Os08g23150.1|13108.m02370|cDNA indole-3-glycerol phosphate synthase, chloroplast precursor, putative, expressed	CUST_10086_PI428634872	S_alt_contig03852	0.07277	0.092214	0.1649847356	0.5264971528	0.441074	0.558926	0.8472563376	28.1	32.1	32.5	31.7	20.40	6.22	1	1	33	33	<.0001	0.0178	4.1183528029	1.7486463324	1	0	1	0.5
NA		S_alt_contig03862_RC	LOC_Os03g17410.1|13103.m02077|cDNA expressed protein	CUST_10093_PI428634872	S_alt_contig03862_RC	0	0.479643	0.479643032	0.7890751709	0	1	0.4268798773	77.3	79.3	79.4	79.1	23.49	1.09	1	1	33	33	<.0001	0.3041	4.53811635	0.5169643136	1	0	1	0.5
AT1G80570	GO:0006511/GO:0006511/GO:0006511/GO:0006511/GO:0005634/GO:0004842/GO:0006511/GO:0006511/GO:0005634/GO:0005634	S_alt_contig03866	LOC_Os12g33210.1|13112.m03387|cDNA OsFBL59 - F-box domain and LRR containing protein, expressed	CUST_10095_PI428634872	S_alt_contig03866	0.109148	0.062675	0.171822636	0.5005823046	0.635234	0.364766	0.8917446834	17.4	21.4	21.8	21.0	10.71	8.09	1	1	33	33	0.0025	0.0076	2.6012959534	2.1197203356	1	1	2	1
NA		S_alt_contig03867_NB		CUST_10096_PI428634872	S_alt_contig03867_NB	0.044619	0.279598	0.3242168825	0.6652261754	0.137621	0.862379	0.6213344824	61.5	65.5	65.9	65.1	23.85	0.36	1	1	33	33	<.0001	0.5516	4.5857556378	0.258353863	1	0	1	0.5
AT4G38130	GO:0045892/GO:0005515/GO:0016575/GO:0004407/GO:0016573/GO:0004407/GO:0016575/GO:0016573/GO:0004407/GO:0045892/GO:2000026/GO:0009861/GO:0016575/GO:0045892/GO:0005634/GO:0004407/GO:0005634/GO:0016575/GO:0005634/GO:0005515/GO:0005515/GO:0045892/GO:0005634/GO:0005515/GO:0005515/GO:0009861/GO:0016573/GO:0045892/GO:0004407/GO:0009294/GO:0016573/GO:0005634/GO:0005515/GO:0005515/GO:0045892/GO:0009405/GO:0004407/GO:0005634	S_alt_contig03885	LOC_Os06g38470.1|13106.m03981|cDNA	CUST_10108_PI428634872	S_alt_contig03885	0.020551	0.111454	0.1320048228	0.178433412	0.155682	0.844318	0.4391883154	31.3	35.3	35.7	34.9	0.44	8.92	1	1	33	33	0.5139	0.0053	0.2891269666	2.2777111431	0	1	1	0.5
AT4G23160	GO:0004672/GO:0004674/GO:0016772/GO:0005524/GO:0004672/GO:0005524/GO:0006468/GO:0004713/GO:0006468/GO:0004674/GO:0016301/GO:0006468/GO:0004713	S_5sp_contig21350_RC	LOC_Os09g04550.1|13109.m00387|cDNA	CUST_1010_PI428634872	S_5sp_contig21350_RC	0.002104	0.048987	0.0510909139	0.0772789381	0.041174	0.958826	0.4000203875	1.0	5.0	5.2	4.5	19.43	3.25	1	1	51	51	<.0001	0.0773	4.2688140009	1.1119566444	1	0	1	0.5
AT2G20810	GO:0005794/GO:0016051/GO:0005794/GO:0005768/GO:0016757/GO:0005794/GO:0016757/GO:0016757/GO:0005802/GO:0047262/GO:0005768/GO:0016758	S_alt_contig03890_RC	LOC_Os04g54360.1|13104.m05621|cDNA	CUST_10110_PI428634872	S_alt_contig03890_RC	0.019745	0.224021	0.2437664886	0.3913247163	0.081001	0.918999	0.4782654253	52.0	56.0	56.4	55.5	13.68	3.65	1	1	32	32	0.0008	0.0652	3.0913473499	1.1855791308	1	0	1	0.5
AT3G20390	GO:0005773/GO:0009941/GO:0004521/GO:0009651/GO:0005773/GO:0009570/GO:0009941/GO:0006096/GO:0009507/GO:0009941/GO:0009579/GO:0009570/GO:0006096/GO:0009536/GO:0046686/GO:0009570/GO:0019761/GO:0009507/GO:0009651/GO:0009536/GO:0006094/GO:0009570/GO:0019761/GO:0009941/GO:0005739/GO:0009507/GO:0046686	S_alt_contig03891	LOC_Os07g33240.1|13107.m03375|cDNA endoribonuclease, putative, expressed	CUST_10111_PI428634872	S_alt_contig03891	0.028374	0.041667	0.0700404159	0.1718414544	0.405107	0.594893	0.788081481	1.5	5.5	5.9	5.1	19.24	0.24	1	1	33	33	0.0001	0.6256	3.9546505539	0.2036944429	1	0	1	0.5
AT3G52190	GO:0010363/GO:0006888/GO:0005783/GO:0005886/GO:0005783/GO:0006612/GO:0006888/GO:0043090/GO:0006820/GO:0043069/GO:0006612/GO:0006862/GO:0006865/GO:0015802/GO:0006817/GO:0006944/GO:0000166/GO:0043269/GO:0016036/GO:0006888/GO:0006888/GO:0015696/GO:0005783/GO:0010363/GO:0005737/GO:0016036/GO:0006944	S_alt_contig03893	LOC_Os07g09000.1|13107.m00902|cDNA WD domain, G-beta repeat domain containing protein, expressed	CUST_10112_PI428634872	S_alt_contig03893	0.02968	0.024815	0.0544954037	0.0941159008	0.544642	0.455358	0.7712385914	-14.2	-10.2	-9.8	-10.6	0.29	9.28	1	1	33	33	0.5938	0.0045	0.2263947249	2.3429193254	0	1	1	0.5
AT1G32790	GO:0046482/GO:0005737/GO:0003676/GO:0000166/GO:0008150/GO:0000166/GO:0046482/GO:0003676/GO:0003723	S_alt_contig03898	LOC_Os08g02330.1|13108.m00170|cDNA RNA recognition motif containing protein, putative, expressed	CUST_10116_PI428634872	S_alt_contig03898	0.005039	0.035116	0.0401549913	0.1601818469	0.125482	0.874518	0.8019931289	-7.1	-3.1	-2.7	-3.6	40.05	26.62	1	1	33	33	<.0001	<.0001	6.4338936243	4.9385523942	1	1	2	1
AT4G23160	GO:0004672/GO:0004674/GO:0016772/GO:0005524/GO:0004672/GO:0005524/GO:0006468/GO:0004713/GO:0006468/GO:0004674/GO:0016301/GO:0006468/GO:0004713	S_5sp_contig21353_RC	LOC_Os05g12360.1|13105.m01344|cDNA retrotransposon protein, putative, unclassified	CUST_1011_PI428634872	S_5sp_contig21353_RC	0.006699	0.046222	0.0529212366	0.0765251496	0.12659	0.87341	0.438135825	-0.5	3.5	3.8	3.1	10.13	4.12	1	1	51	51	0.0025	0.0477	2.6049197535	1.3214155779	1	0	1	0.5
AT3G10620	GO:0008893/GO:0009507/GO:0019243/GO:0004081/GO:0006753/GO:0006753/GO:0019243/GO:0009507/GO:0034432	S_alt_contig03906	LOC_Os04g58900.1|13104.m06206|cDNA hydrolase, NUDIX family, domain containing protein, expressed	CUST_10123_PI428634872	S_alt_contig03906	0.019825	0.029321	0.0491460889	0.1406427532	0.403386	0.596614	0.8177686417	-10.1	-6.1	-5.7	-6.5	24.27	0.00	1	1	33	33	<.0001	0.9690	4.6394382611	0.0136672657	1	0	1	0.5
AT3G07550	GO:0005634/GO:0006511/GO:0006511/GO:0006511/GO:0006511/GO:0006511/GO:0005634/GO:0006511/GO:0004842	S_alt_contig03914	LOC_Os11g16280.1|13111.m01631|cDNA F-box domain containing protein, expressed	CUST_10129_PI428634872	S_alt_contig03914	0.000576	0.015419	0.0159946206	0.0350141623	0.036001	0.963999	0.591714117	-35.6	-31.6	-31.2	-32.0	37.21	0.21	1	1	33	33	<.0001	0.6507	6.1436881397	0.1865866628	1	0	1	0.5
AT3G46020	GO:0000166/GO:0008150/GO:0003723/GO:0005575/GO:0003676	S_alt_contig03919	LOC_Os01g31810.2|13101.m15031|cDNA RNA recognition motif containing protein, putative, expressed	CUST_10132_PI428634872	S_alt_contig03919	0	0.10476	0.1047601687	0.2369976587	0	1	0.5832284844	27.1	29.1	29.2	28.9	40.65	5.53	1	1	33	33	<.0001	0.0248	6.4937188705	1.605906598	1	0	1	0.5
AT4G00630	GO:0009941/GO:0009941/GO:0016020/GO:0009941/GO:0015992/GO:0016021/GO:0009941/GO:0009941/GO:0015386/GO:0009507/GO:0009941/GO:0006813/GO:0015386/GO:0015079/GO:0016021/GO:0009941/GO:0009536/GO:0009941	S_alt_contig03920	LOC_Os04g58620.1|13104.m06160|cDNA	CUST_10133_PI428634872	S_alt_contig03920	0.0088	0.116046	0.1248459499	0.3059010933	0.07049	0.92951	0.6524895738	31.6	35.6	36.0	35.1	36.21	3.59	1	1	33	33	<.0001	0.0671	6.0374207924	1.1734705893	1	0	1	0.5
AT5G06510	GO:0003700/GO:0003700/GO:0005634/GO:0006355/GO:0006355/GO:0016602/GO:0006355/GO:0003677/GO:0006355/GO:0005634/GO:0003700/GO:0005634/GO:0006355/GO:0016602/GO:0006355/GO:0016602/GO:0003700/GO:0003677/GO:0006355/GO:0005634/GO:0006355/GO:0016602/GO:0009718/GO:0003700/GO:0006355/GO:0009718/GO:0016602/GO:0005634/GO:0003677/GO:0006355/GO:0016602/GO:0016602/GO:0006355/GO:0006355/GO:0005634/GO:0016602	S_alt_contig03921	LOC_Os12g42400.1|13112.m04454|cDNA	CUST_10134_PI428634872	S_alt_contig03921	0.031325	0.148855	0.1801795753	0.696268921	0.173853	0.826147	0.8086530498	41.1	45.1	45.5	44.7	55.08	1.02	1	1	33	33	<.0001	0.3203	7.8006560606	0.4944344018	1	0	1	0.5
AT1G80300	GO:0009941/GO:0009941/GO:0009536/GO:0009941/GO:0005524/GO:0005471/GO:0009941/GO:0005471/GO:0009941/GO:0016021/GO:0005471/GO:0009941/GO:0009941/GO:0016020/GO:0005524/GO:0009507/GO:0009941	S_alt_contig03928	LOC_Os01g45910.1|13101.m04713|cDNA plastidic ATP/ADP-transporter, putative, expressed	CUST_10139_PI428634872	S_alt_contig03928	0.017355	0.035593	0.0529472423	0.3312725905	0.327773	0.672227	0.9015654891	-11.3	-7.3	-7.0	-7.7	64.24	15.40	1	1	51	51	<.0001	0.0003	9.8607967221	3.5834746668	1	1	2	1
AT4G23160	GO:0004672/GO:0004674/GO:0016772/GO:0005524/GO:0004672/GO:0005524/GO:0006468/GO:0004713/GO:0006468/GO:0004674/GO:0016301/GO:0006468/GO:0004713	S_alt_contig03930_RC	LOC_Os03g22100.1|13103.m02656|cDNA	CUST_10141_PI428634872	S_alt_contig03930_RC	0.047627	0.03544	0.0830669019	0.3780904635	0.573355	0.426645	0.9147032237	-8.8	-4.8	-4.6	-5.2	0.96	35.55	1	1	51	51	0.3317	<.0001	0.479260218	6.6295593243	0	1	1	0.5
AT4G02720	GO:0008150/GO:0003674/GO:0005634	S_alt_contig03938	LOC_Os09g28220.1|13109.m02780|cDNA NFKB, putative, expressed	CUST_10149_PI428634872	S_alt_contig03938	0.009106	0.014733	0.023839085	0.0481080673	0.381961	0.618039	0.7199927175	-55.6	-51.6	-51.4	-52.1	4.53	11.52	1	1	51	51	0.0381	0.0013	1.4189213994	2.8739556961	0	1	1	0.5
AT5G13020	GO:0008284/GO:0010413/GO:0045492/GO:0008150/GO:0045492/GO:0010413/GO:0005634/GO:0003674	S_5sp_contig21391_RC	LOC_Os09g10710.3|13109.m00945|cDNA	CUST_1014_PI428634872	S_5sp_contig21391_RC	0.05646	0.067059	0.123518745	0.2221920366	0.457093	0.542907	0.7246731871	22.4	26.4	26.7	26.0	11.71	0.16	1	1	51	51	0.0012	0.6877	2.9098100921	0.1625864921	1	0	1	0.5
AT5G56360	GO:0030244/GO:0000394/GO:0048193/GO:0005516/GO:0009086/GO:0042742/GO:0042742/GO:0009507/GO:0005783/GO:0048193/GO:0030244/GO:0000394/GO:0005516/GO:0009086	S_alt_contig03939	LOC_Os01g16970.3|13101.m01902|cDNA	CUST_10150_PI428634872	S_alt_contig03939	0.013208	0.007486	0.0206936876	0.0415165279	0.638248	0.361752	0.8360927661	-87.3	-83.3	-83.1	-83.8	7.57	4.00	1	1	51	51	0.0082	0.0509	2.086579985	1.2937030292	1	0	1	0.5
NA		S_alt_contig03940_NB		CUST_10151_PI428634872	S_alt_contig03940_NB	0.074727	0.449782	0.5245084311	1.0715664064	0.14247	0.85753	0.6123250799	107.2	111.2	111.5	110.8	1.61	26.13	1	1	47	47	0.2108	<.0001	0.676197503	5.2392353202	0	1	1	0.5
